id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6499,Belém 1 Bedroom Historical Apartment,14455,Bruno,Lisboa,Belm,38.6975,-9.19768,Entire home/apt,40,3,27,2021-01-26,0.32,1,83
25659,Heart of Alfama Lisbon Center - Cœur de l'Alfama,107347,Ellie,Lisboa,Santa Maria Maior,38.71241,-9.12706,Entire home/apt,45,3,114,2019-11-08,1.30,1,305
29248,Apartamento Alfama com vista para o rio!,125768,Bárbara,Lisboa,Santa Maria Maior,38.71082,-9.12719,Entire home/apt,50,3,328,2019-10-29,2.77,1,143
29396,Alfama Hill - Boutique apartment,126415,Mónica,Lisboa,Santa Maria Maior,38.71156,-9.12987,Entire home/apt,53,2,274,2020-11-26,2.74,1,303
29720,TheHOUSE - Your luxury home,128075,Francisco,Lisboa,Estrela,38.71108,-9.15979,Entire home/apt,1114,2,55,2020-03-11,0.84,1,349
29915,Modern and Cool Apartment in Lisboa,128890,Sara,Lisboa,Avenidas Novas,38.74571,-9.15264,Entire home/apt,50,5,42,2018-01-01,0.39,1,226
33348,Happy Season,144484,Bruno,Lisboa,Lumiar,38.76427,-9.15301,Private room,40,1,2,2011-07-22,0.02,2,0
40817,"Chiado, Alecrim walk to Riverfront",176410,S.,Lisboa,Misericrdia,38.70903,-9.14313,Entire home/apt,122,1,363,2019-09-25,3.24,6,0
42519,Nice Apart.BAIRRO ALTO (ADAMASTOR) 6-1º,136230,David,Lisboa,Misericrdia,38.71062,-9.149,Entire home/apt,50,1,114,2019-12-30,1.13,11,138
48025,Apartment for renting  in Lisbon,218778,José,Lisboa,Misericrdia,38.71195,-9.14463,Entire home/apt,65,5,18,2019-01-23,0.15,5,282
48058,Small House Downtown Cascais,218990,Pim,Cascais,Cascais e Estoril,38.6965,-9.42571,Entire home/apt,80,5,33,2019-10-12,0.43,1,295
48854,"Comfortable 4BR in historical villa, near market",222551,Dagmar,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.8038,-9.3797,Entire home/apt,200,5,45,2020-12-23,0.75,1,89
49673,Cottage Countryside / Beaches Golf,225364,Mercês,Alenquer,Alenquer (Santo Estvo e Triana),39.05965,-9.04733,Entire home/apt,230,7,6,2016-08-16,0.17,1,335
50108,Duplex do Pipas,229376,Pipas,Lisboa,Estrela,38.70388,-9.16546,Entire home/apt,85,2,37,2016-06-26,0.33,2,282
52298,rooms free in lisbon,241711,Paulo,Lisboa,Misericrdia,38.71247,-9.15119,Entire home/apt,310,1,0,,,1,365
55116,Sonho Lisboa,259744,Miguel,Lisboa,Avenidas Novas,38.72588,-9.15697,Private room,85,2,4,2018-04-07,0.21,2,365
56906,Lisbon Balcony Penthouse 15th Floor,270457,Antonio,Lisboa,So Vicente,38.71851,-9.12439,Entire home/apt,52,2,143,2020-02-17,1.33,7,0
75171,Long Stays - river a step away. Sunlight everyday,184400,Justostay,Lisboa,Estrela,38.70608,-9.16181,Entire home/apt,80,2,25,2015-05-19,0.32,10,251
83615,Sleep 4 - Tram 28 - 302/AL,184400,Justostay,Lisboa,Estrela,38.71284,-9.15801,Entire home/apt,85,3,18,2012-11-27,0.17,10,365
83700,Studio Cascais- Panoramic sea view,456477,Claudio,Cascais,Cascais e Estoril,38.70018,-9.43272,Entire home/apt,54,3,154,2018-01-28,1.54,1,298
83933,Charming flat with terrace in Graça,335614,Sebastien,Lisboa,So Vicente,38.72095,-9.12818,Entire home/apt,80,2,212,2019-09-24,2.04,2,189
84599,"LV Premier Baixa PR- Elevator, Balcony, AC, View",181902,Jose Luz,Lisboa,Santa Maria Maior,38.7106,-9.13689,Entire home/apt,133,1,70,2020-01-02,0.72,20,362
89015,GREAT LUXURY HOUSE IN THE CENTER,485573,Justo,Lisboa,Misericrdia,38.71299,-9.15004,Entire home/apt,95,3,28,2017-09-22,0.44,1,100
90931,NORONHA apartment - BAIRRO ALTO,184400,Justostay,Lisboa,Santo Antnio,38.71749,-9.15441,Entire home/apt,120,3,16,2016-07-14,0.15,10,365
93829,Studio near to S Jorge Castle,183877,Cristina,Lisboa,So Vicente,38.71722,-9.13019,Entire home/apt,51,1,60,2019-06-09,0.73,1,71
95212,BIG 3 BD CHARM&LIGHT PERFECT SPOT #green street,502806,Kathia,Lisboa,Misericrdia,38.70901,-9.15158,Entire home/apt,100,2,75,2019-11-21,0.73,1,176
97503,Lovely equipped flat in city centre,515924,Joel,Lisboa,Santo Antnio,38.72129,-9.1422,Private room,18,20,42,2014-04-23,0.43,5,143
103252,BALCONY · Vila Berta,538753,André & Cristina,Lisboa,So Vicente,38.71825,-9.12902,Entire home/apt,80,2,58,2020-01-02,0.95,6,192
107159,Noite a bordo  barco Yatch Astinor,554343,José,Lisboa,Estrela,38.70065,-9.17491,Private room,360,1,0,,,1,365
112497,Ocean View from The Sunny Flat,574017,Mateus,Cascais,Cascais e Estoril,38.69922,-9.44053,Entire home/apt,99,4,11,2011-06-30,0.49,1,0
117979,appartement neuf independant .,595941,Jean-Michel,Cascais,Alcabideche,38.71773,-9.41087,Private room,89,1,0,,,7,365
119120,Lapa 2Bdr with City and River Views,387186,Nuno,Lisboa,Estrela,38.70927,-9.16122,Entire home/apt,65,3,236,2020-07-31,2.51,6,12
122572,A confortable room in a nice place,614156,Isabel,Lisboa,So Domingos de Benfica,38.75643,-9.177,Private room,62,1,0,,,1,83
125578,"Lisbon Downtown, Historical center",624049,Sandra,Lisboa,Santa Maria Maior,38.71341,-9.13519,Entire home/apt,45,4,198,2020-02-04,1.76,1,349
125835,Rent quarter,624965,Vanessa,Vila Franca De Xira,Vila Franca de Xira,38.95722,-9.00264,Private room,50,1,0,,,1,365
125848,Historical Alfama-Pantheon Charming 1 bed flat,624278,Isabelle & Cesar,Lisboa,So Vicente,38.71478,-9.1241,Entire home/apt,50,3,143,2018-10-18,1.30,4,130
126646,"Room and balcony in house, overlooking the ""Tagus""",628095,Filipe,Lisboa,Penha de Frana,38.72983,-9.13183,Private room,25,1,262,2020-07-18,3.18,3,82
130708,Private Room in City Center,643374,Jesse James,Lisboa,Arroios,38.71806,-9.13738,Private room,35,3,186,2019-10-03,1.54,2,328
130799,DAHOUSE SPORTS RESIDENCE / BEACH,643762,Dahouse,Cascais,Carcavelos e Parede,38.68647,-9.32989,Private room,66,6,15,2014-08-02,0.16,2,356
133645,A pleasure in Lisbon,656138,Juan,Lisboa,Santa Maria Maior,38.71091,-9.13251,Entire home/apt,45,2,262,2021-06-21,2.17,2,340
134438,The Oasis   Beautiful outside terrace and garden!,659768,Matt,Lisboa,So Vicente,38.71841,-9.1233,Entire home/apt,70,2,199,2020-11-09,1.92,2,252
